"","HOUSING OCCUPANCY","","","","","","UNITS IN STRUCTURE","","","","","","","","","","","YEAR STRUCTURE BUILT","","","","","","","","","","","","ROOMS","","","","","","","","","","","","BEDROOMS","","","","","","","","HOUSING TENURE","","","","","","YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","VEHICLES AVAILABLE","","","","","","HOUSE HEATING FUEL","","","","","","","","","","","SELECTED CHARACTERISTICS","","","","","OCCUPANTS PER ROOM","","","","","VALUE","","","","","","","","","","","MORTGAGE STATUS","","","","SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","GROSS RENT","","","","","","","","","","","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","",""
"","","Total housing units","","","","","","Total housing units","","","","","","","","","","","Total housing units","","","","","","","","","","","","Total housing units","","","","","","","","","","","","Total housing units","","","","","","","","Occupied housing units","","","","","","Occupied housing units","","","","","","","","Occupied housing units","","","","","","Occupied housing units","","","","","","","","","","","Occupied housing units","","","","","Occupied housing units","","","","","Owner-occupied units","","","","","","","","","","","Owner-occupied units","","","","Housing units with a mortgage","","","","","","","","","Housing units without a mortgage","","","","","","","","","Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","","","","","","","Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","","","","","","","","","","Occupied units paying rent","","","","","","","","","","","Occupied units paying rent (excluding units where GRAPI cannot be computed)","","","","","","",""
"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2018","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $500","GROSS RENT!!Occupied units paying rent!!$500 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999","GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499","GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999","GROSS RENT!!Occupied units paying rent!!$3,000 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!Occupied units paying rent!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Not computed"
"Census Tract 1.01, Suffolk County, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","627","627","0","0.0","0.0","","627","66","114","183","185","15","60","4","0","0","","627","0","0","13","53","51","65","71","49","9","316","","627","0","8","23","200","177","123","29","34","33","5.0","","627","0","36","293","198","78","22","","627","195","432","3.03","3.32","","627","22","316","150","51","26","62","","627","94","211","282","40","","627","479","11","83","46","0","0","0","0","8","","627","0","0","0","","627","621","0","6","","195","0","11","0","11","7","80","86","0","483,800","","195","55","140","","55","0","12","0","18","0","0","25","-","140","0","11","68","25","8","28","547","","55","55","0","0","0","0","0","140","129","0","11","0","0","0","0","0","","432","0","55","43","104","110","36","84","2,064","0","","432","90","23","98","45","29","147","0"
"    Margin of Error","","±70","±70","±13","±18.4","±8.8","","±70","±49","±59","±72","±65","±24","±69","±6","±13","±13","","±70","±13","±13","±15","±47","±75","±40","±47","±37","±14","±74","","±70","±13","±14","±25","±76","±66","±48","±24","±22","±42","±0.4","","±70","±13","±30","±89","±63","±50","±20","","±70","±92","±79","±0.88","±0.37","","±70","±27","±84","±78","±43","±29","±36","","±70","±48","±76","±99","±34","","±70","±85","±16","±82","±33","±13","±13","±13","±13","±13","","±70","±13","±13","±13","","±70","±72","±13","±11","","±92","±13","±16","±13","±18","±12","±73","±52","±13","±90,412","","±92","±50","±78","","±50","±13","±20","±13","±21","±13","±13","±41","**","±78","±13","±16","±70","±28","±14","±22","±217","","±50","±50","±13","±13","±13","±13","±13","±78","±79","±13","±18","±13","±13","±13","±13","±13","","±79","±13","±50","±34","±57","±49","±39","±42","±233","±13","","±79","±54","±20","±52","±41","±20","±64","±13"
"    Percent","","627","100.0%","0.0%","(X)","(X)","","627","10.5%","18.2%","29.2%","29.5%","2.4%","9.6%","0.6%","0.0%","0.0%","","627","0.0%","0.0%","2.1%","8.5%","8.1%","10.4%","11.3%","7.8%","1.4%","50.4%","","627","0.0%","1.3%","3.7%","31.9%","28.2%","19.6%","4.6%","5.4%","5.3%","(X)","","627","0.0%","5.7%","46.7%","31.6%","12.4%","3.5%","","627","31.1%","68.9%","(X)","(X)","","627","3.5%","50.4%","23.9%","8.1%","4.1%","9.9%","","627","15.0%","33.7%","45.0%","6.4%","","627","76.4%","1.8%","13.2%","7.3%","0.0%","0.0%","0.0%","0.0%","1.3%","","627","0.0%","0.0%","0.0%","","627","99.0%","0.0%","1.0%","","195","0.0%","5.6%","0.0%","5.6%","3.6%","41.0%","44.1%","0.0%","(X)","","195","28.2%","71.8%","","55","0.0%","21.8%","0.0%","32.7%","0.0%","0.0%","45.5%","(X)","140","0.0%","7.9%","48.6%","17.9%","5.7%","20.0%","(X)","","55","100.0%","0.0%","0.0%","0.0%","0.0%","(X)","140","92.1%","0.0%","7.9%","0.0%","0.0%","0.0%","0.0%","(X)","","432","0.0%","12.7%","10.0%","24.1%","25.5%","8.3%","19.4%","(X)","(X)","","432","20.8%","5.3%","22.7%","10.4%","6.7%","34.0%","(X)"
"    Percent Margin of Error","","(X)","±6.2","±6.2","(X)","(X)","","(X)","±8.1","±8.6","±11.3","±10.7","±3.7","±10.7","±0.9","±6.2","±6.2","","(X)","±6.2","±6.2","±2.6","±7.5","±11.6","±6.4","±7.6","±5.7","±2.2","±10.4","","(X)","±6.2","±2.2","±3.9","±10.6","±10.5","±7.9","±4.1","±3.6","±6.4","(X)","","(X)","±6.2","±4.8","±12.6","±10.3","±7.4","±3.3","","(X)","±13.0","±13.0","(X)","(X)","","(X)","±4.1","±12.8","±11.4","±6.8","±4.6","±5.6","","(X)","±7.2","±12.3","±13.5","±5.6","","(X)","±11.9","±2.6","±12.5","±5.5","±6.2","±6.2","±6.2","±6.2","±2.1","","(X)","±6.2","±6.2","±6.2","","(X)","±1.7","±6.2","±1.7","","(X)","±18.4","±8.8","±18.4","±9.7","±6.2","±25.7","±22.7","±18.4","(X)","","(X)","±22.5","±22.5","","(X)","±44.4","±35.8","±44.4","±41.2","±44.4","±44.4","±50.4","(X)","(X)","±24.5","±12.6","±30.0","±21.9","±10.0","±18.0","(X)","","(X)","±44.4","±44.4","±44.4","±44.4","±44.4","(X)","(X)","±14.1","±24.5","±14.1","±24.5","±24.5","±24.5","±24.5","(X)","","(X)","±8.8","±10.5","±7.6","±12.2","±11.5","±8.8","±9.7","(X)","(X)","","(X)","±10.6","±4.8","±11.8","±9.3","±4.9","±13.8","(X)"
"Census Tract 1.02, Suffolk County, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,424","1,322","102","0.0","1.5","","1,424","141","45","250","565","34","44","345","0","0","","1,424","135","371","16","114","66","127","101","50","73","371","","1,424","3","148","170","154","429","336","16","110","58","5.1","","1,424","3","285","411","598","127","0","","1,322","290","1,032","2.62","2.90","","1,322","110","313","532","139","138","90","","1,322","155","652","260","255","","1,322","841","55","314","95","0","0","0","0","17","","1,322","0","0","8","","1,322","1,319","0","3","","290","24","0","0","0","15","39","212","0","599,100","","290","198","92","","198","0","6","17","84","30","0","61","1,967","92","15","0","0","68","0","9","678","","198","62","14","19","11","92","0","92","64","18","10","0","0","0","0","0","","1,017","133","139","154","112","134","207","138","1,868","15","","1,017","51","200","166","225","85","290","15"
